,NO,NO2,AirTemp,Press,UMR,O3,PM10
0,3.43,23.54,-1.1,938.0,81.1,30.39,32.68
1,2.4,22.78,-1.1,938.0,79.1,30.39,32.68
3,2.71,21.2,-1.2,939.0,79.2,30.39,32.68
4,2.91,20.51,-1.3,939.0,78.2,30.39,32.68
5,2.75,20.02,-1.3,940.0,77.5,30.39,32.68
6,1.92,19.38,-1.5,940.0,77.5,30.39,32.68
7,2.63,19.47,-2.1,940.0,78.6,30.39,32.68
8,2.63,19.57,-1.8,941.0,77.0,30.39,32.68
9,2.93,18.56,0.4,941.0,67.6,30.39,32.68
10,2.96,18.77,1.5,941.0,63.8,30.39,32.68
11,2.73,17.27,1.7,941.0,62.8,30.39,32.68
12,2.52,17.11,2.2,941.0,59.3,30.39,32.68
13,1.84,17.4,3.0,941.0,56.4,30.39,32.68
14,2.26,17.64,2.7,941.0,57.1,30.39,32.68
15,1.67,16.05,2.5,942.0,57.2,30.39,32.68
16,1.66,18.75,1.1,942.0,62.5,30.39,32.68
17,4.74,31.93,0.0,942.0,67.9,30.39,32.68
18,14.38,45.36,-1.7,942.0,72.8,30.39,32.68
19,16.29,49.75,-2.4,943.0,72.7,30.39,32.68
20,11.54,47.58,-3.0,943.0,71.8,30.39,32.68
21,11.83,45.9,-4.2,944.0,77.5,30.39,32.68
22,14.82,45.05,-4.9,943.0,80.3,30.39,32.68
23,12.91,42.18,-4.7,943.0,77.0,30.39,32.68
24,7.13,37.0,-5.3,943.0,75.8,21.74,94.6
25,4.55,31.02,-5.8,943.0,78.4,21.74,94.6
27,3.24,21.32,-6.4,943.0,81.9,21.74,94.6
28,3.5,21.08,-6.9,943.0,82.4,21.74,94.6
29,3.19,22.93,-8.4,943.0,87.1,21.74,94.6
30,7.05,26.57,-7.8,943.0,89.6,21.74,94.6
31,17.37,32.53,-7.7,944.0,88.8,21.74,94.6
32,24.95,36.35,-8.2,943.0,88.4,21.74,94.6
33,23.03,37.74,-3.2,944.0,77.4,21.74,94.6
34,17.46,37.62,-1.2,943.0,67.3,21.74,94.6
35,11.52,39.11,-0.2,943.0,66.6,21.74,94.6
36,6.27,41.95,2.9,943.0,58.0,21.74,94.6
37,4.98,41.01,3.1,942.0,56.3,21.74,94.6
38,4.46,41.35,3.3,942.0,54.4,21.74,94.6
39,3.24,39.97,2.9,943.0,54.5,21.74,94.6
40,4.14,41.8,0.0,943.0,64.4,21.74,94.6
41,6.95,52.67,-1.2,942.0,69.4,21.74,94.6
42,17.26,59.88,-1.6,942.0,71.1,21.74,94.6
43,38.55,69.99,-1.9,942.0,73.5,21.74,94.6
44,60.53,77.49,-2.5,942.0,77.2,21.74,94.6
45,84.68,81.87,-2.9,943.0,79.6,21.74,94.6
46,109.53,86.97,-3.6,942.0,81.9,21.74,94.6
47,122.02,87.33,-4.2,942.0,84.5,21.74,94.6
48,121.05,85.26,-4.4,942.0,87.1,11.92,271.44
49,120.99,81.25,-4.5,942.0,88.0,11.92,271.44
51,111.6,69.35,-5.3,942.0,89.8,11.92,271.44
52,102.51,63.26,-5.8,942.0,90.5,11.92,271.44
53,94.44,57.68,-6.1,942.0,90.7,11.92,271.44
54,105.06,61.83,-6.2,942.0,91.0,11.92,271.44
55,127.21,70.32,-6.6,943.0,91.4,11.92,271.44
56,171.52,85.22,-5.6,943.0,91.4,11.92,271.44
57,180.97,95.77,-2.6,943.0,85.2,11.92,271.44
58,143.09,88.35,0.2,943.0,72.9,11.92,271.44
59,108.72,81.0,5.3,943.0,56.3,11.92,271.44
60,83.4,80.81,5.3,943.0,56.7,11.92,271.44
61,60.41,83.33,5.4,943.0,57.5,11.92,271.44
62,39.65,85.41,4.9,943.0,59.5,11.92,271.44
63,25.2,84.05,5.1,943.0,59.3,11.92,271.44
64,29.34,90.74,3.1,943.0,64.9,11.92,271.44
65,68.23,110.97,1.4,944.0,72.0,11.92,271.44
66,117.68,132.7,0.2,944.0,78.2,11.92,271.44
67,151.52,140.92,-0.5,944.0,82.5,11.92,271.44
68,195.3,150.66,-1.1,944.0,86.5,11.92,271.44
69,220.91,155.68,-1.0,944.0,86.2,11.92,271.44
70,230.57,155.79,-2.1,944.0,87.5,11.92,271.44
71,221.67,146.8,-2.5,944.0,89.1,11.92,271.44
72,188.34,125.17,-3.5,944.0,90.7,7.66,261.17
73,160.36,109.11,-3.4,944.0,91.8,7.66,261.17
75,139.41,91.86,-4.0,943.0,93.0,7.66,261.17
76,134.7,85.85,-5.0,942.0,92.5,7.66,261.17
77,113.5,77.73,-6.3,942.0,94.5,7.66,261.17
78,92.05,70.55,-5.2,942.0,94.3,7.66,261.17
79,80.2,67.24,-5.1,942.0,94.3,7.66,261.17
80,77.28,66.38,-5.5,942.0,94.3,7.66,261.17
81,80.32,72.31,-4.4,942.0,93.8,7.66,261.17
82,81.62,77.34,-2.3,942.0,90.3,7.66,261.17
83,76.82,80.4,-0.3,941.0,86.4,7.66,261.17
84,69.23,85.42,1.7,940.0,75.7,7.66,261.17
85,60.45,92.04,3.6,940.0,69.0,7.66,261.17
86,53.37,95.2,2.3,939.0,73.9,7.66,261.17
87,45.3,104.11,2.3,939.0,75.2,7.66,261.17
88,45.29,110.43,0.4,939.0,80.6,7.66,261.17
89,73.01,116.91,-1.6,939.0,87.0,7.66,261.17
90,106.1,127.27,-3.9,939.0,90.0,7.66,261.17
91,115.29,129.86,-4.2,939.0,94.0,7.66,261.17
92,118.92,123.65,-4.1,939.0,94.6,7.66,261.17
93,119.23,115.95,-3.5,939.0,94.4,7.66,261.17
94,135.17,116.21,-4.7,939.0,93.8,7.66,261.17
95,139.81,116.41,-6.0,939.0,94.0,7.66,261.17
96,139.12,113.29,-7.0,938.0,94.5,13.2,198.98
97,124.89,104.81,-7.2,938.0,94.8,13.2,198.98
99,114.48,106.35,-5.9,938.0,94.9,13.2,198.98
100,103.8,103.95,-5.5,938.0,95.4,13.2,198.98
101,97.57,99.34,-5.9,938.0,95.2,13.2,198.98
102,104.85,98.99,-5.7,938.0,95.1,13.2,198.98
103,111.57,99.26,-5.4,938.0,95.4,13.2,198.98
104,107.31,96.9,-4.4,937.0,95.1,13.2,198.98
105,102.67,97.83,-2.6,937.0,93.0,13.2,198.98
106,95.96,100.84,0.1,936.0,90.9,13.2,198.98
107,79.77,101.68,1.9,935.0,87.8,13.2,198.98
108,61.88,98.09,3.8,934.0,82.5,13.2,198.98
109,46.96,89.43,4.7,934.0,79.2,13.2,198.98
110,32.65,81.25,5.6,933.0,78.3,13.2,198.98
111,22.99,73.45,4.9,932.0,78.7,13.2,198.98
112,19.41,71.2,3.5,932.0,83.9,13.2,198.98
113,29.93,78.59,2.7,931.0,87.5,13.2,198.98
114,33.01,80.66,1.7,930.0,90.2,13.2,198.98
115,34.79,80.22,2.3,929.0,92.0,13.2,198.98
116,30.83,73.89,6.4,929.0,67.8,13.2,198.98
117,21.91,66.37,7.9,928.0,58.6,13.2,198.98
118,11.17,58.02,8.3,928.0,59.4,13.2,198.98
119,3.66,45.87,8.3,927.0,60.3,13.2,198.98
