,NO,NO2,AirTemp,Press,UMR,O3,PM10
0,3.48,21.09,-1.0,954.0,79.7,46.45,44.85
1,1.18,16.05,-1.0,955.0,78.4,46.45,44.85
3,0.45,13.89,-1.2,956.0,79.3,46.45,44.85
4,0.37,15.44,-1.3,956.0,77.9,46.45,44.85
5,0.29,13.86,-1.3,957.0,76.7,46.45,44.85
6,0.25,16.39,-1.9,957.0,78.1,46.45,44.85
7,0.88,22.91,-2.6,958.0,79.9,46.45,44.85
8,1.63,22.2,-1.8,959.0,75.6,46.45,44.85
9,1.61,17.02,2.0,959.0,60.8,46.45,44.85
10,0.84,10.2,3.0,960.0,57.5,46.45,44.85
11,1.22,10.3,3.4,960.0,56.1,46.45,44.85
12,1.18,10.59,3.8,959.0,54.5,46.45,44.85
13,0.74,9.84,4.5,959.0,51.9,46.45,44.85
14,0.32,10.61,4.0,959.0,52.8,46.45,44.85
15,0.28,14.76,3.6,960.0,54.2,46.45,44.85
16,0.57,22.38,1.9,960.0,61.0,46.45,44.85
17,0.52,30.23,0.1,961.0,69.0,46.45,44.85
18,13.38,69.09,-0.8,961.0,73.0,46.45,44.85
19,78.45,83.27,-2.0,962.0,75.9,46.45,44.85
20,32.82,77.1,-2.6,962.0,76.5,46.45,44.85
21,213.03,95.68,-3.4,963.0,78.3,46.45,44.85
22,121.69,77.88,-3.8,963.0,79.9,46.45,44.85
23,101.96,75.42,-4.3,963.0,83.2,46.45,44.85
24,95.3,71.29,-4.8,963.0,84.7,24.39,164.78
25,78.14,66.81,-5.3,963.0,86.8,24.39,164.78
27,2.84,36.65,-5.7,964.0,88.3,24.39,164.78
28,4.93,42.2,-5.9,963.0,88.9,24.39,164.78
29,17.56,45.85,-6.2,963.0,88.7,24.39,164.78
30,27.94,44.96,-6.5,964.0,89.9,24.39,164.78
31,35.29,46.77,-6.6,964.0,90.2,24.39,164.78
32,94.03,53.43,-5.4,964.0,88.3,24.39,164.78
33,75.03,61.75,-1.5,964.0,72.5,24.39,164.78
34,47.72,73.82,0.3,964.0,61.6,24.39,164.78
35,35.93,76.96,2.3,963.0,55.0,24.39,164.78
36,28.03,79.84,3.9,962.0,50.4,24.39,164.78
37,22.57,83.29,4.3,961.0,49.3,24.39,164.78
38,25.72,102.88,5.0,961.0,48.5,24.39,164.78
39,19.43,107.78,4.2,961.0,51.6,24.39,164.78
40,41.96,119.95,3.3,961.0,54.8,24.39,164.78
41,103.03,132.92,0.7,961.0,65.6,24.39,164.78
42,319.35,166.44,-0.6,961.0,74.0,24.39,164.78
43,416.12,170.27,-1.1,961.0,78.7,24.39,164.78
44,396.16,152.57,-1.6,961.0,81.3,24.39,164.78
45,224.3,121.07,-1.8,961.0,83.5,24.39,164.78
46,276.51,123.71,-2.2,961.0,84.5,24.39,164.78
47,223.97,110.19,-2.7,961.0,85.7,24.39,164.78
48,146.38,93.32,-2.9,961.0,87.2,23.25,337.12
49,160.81,93.69,-3.2,961.0,87.9,23.25,337.12
51,152.82,86.01,-3.7,961.0,88.8,23.25,337.12
52,114.39,74.47,-4.0,961.0,89.4,23.25,337.12
53,99.96,71.27,-4.4,961.0,89.7,23.25,337.12
54,106.96,72.36,-4.6,961.0,90.3,23.25,337.12
55,164.78,75.44,-4.7,962.0,90.2,23.25,337.12
56,320.22,98.56,-3.7,963.0,89.7,23.25,337.12
57,287.3,134.29,0.3,963.0,75.9,23.25,337.12
58,294.68,205.27,2.7,963.0,61.5,23.25,337.12
59,169.39,232.71,5.5,963.0,53.2,23.25,337.12
60,123.49,231.11,7.9,962.0,47.3,23.25,337.12
61,93.4,201.9,7.0,962.0,51.0,23.25,337.12
62,72.61,191.85,8.0,962.0,49.8,23.25,337.12
63,76.82,193.3,8.0,962.0,50.7,23.25,337.12
64,153.31,201.36,5.9,963.0,56.8,23.25,337.12
65,319.52,222.43,2.9,963.0,69.4,23.25,337.12
66,434.09,230.34,1.8,963.0,75.7,23.25,337.12
67,666.91,265.75,0.8,964.0,81.4,23.25,337.12
68,538.92,237.35,0.3,964.0,83.0,23.25,337.12
69,596.99,242.49,-0.3,964.0,86.6,23.25,337.12
70,392.39,194.73,-0.6,964.0,86.4,23.25,337.12
71,361.55,170.25,-1.1,964.0,88.1,23.25,337.12
72,337.09,153.22,-1.4,964.0,89.7,23.53,465.04
73,318.56,142.66,-1.8,963.0,90.5,23.53,465.04
75,241.57,113.25,-2.6,962.0,91.1,23.53,465.04
76,192.29,98.9,-2.9,962.0,91.7,23.53,465.04
77,171.16,90.37,-3.2,961.0,92.1,23.53,465.04
78,199.34,90.25,-3.6,961.0,91.9,23.53,465.04
79,301.38,100.15,-4.1,961.0,91.9,23.53,465.04
80,361.09,111.63,-3.8,961.0,91.5,23.53,465.04
81,369.91,157.63,-0.6,961.0,85.9,23.53,465.04
82,284.53,200.62,1.5,960.0,71.7,23.53,465.04
83,227.62,227.85,2.7,959.0,65.6,23.53,465.04
84,148.45,220.48,3.7,957.0,63.7,23.53,465.04
85,145.36,237.44,6.3,956.0,55.9,23.53,465.04
86,181.2,271.47,6.3,955.0,57.3,23.53,465.04
87,135.57,244.7,4.4,955.0,65.3,23.53,465.04
88,183.78,234.15,2.7,954.0,72.3,23.53,465.04
89,265.81,228.73,0.7,954.0,80.8,23.53,465.04
90,486.26,243.19,-0.2,955.0,85.3,23.53,465.04
91,442.81,237.06,-0.1,955.0,86.6,23.53,465.04
92,473.87,200.07,-1.2,956.0,87.2,23.53,465.04
93,485.55,186.88,-1.7,955.0,90.0,23.53,465.04
94,529.73,202.03,-2.0,955.0,91.0,23.53,465.04
95,461.75,190.37,-2.0,954.0,92.1,23.53,465.04
96,404.71,172.37,-2.1,954.0,92.1,14.52,308.98
97,440.77,146.64,-2.7,954.0,91.8,14.52,308.98
99,214.64,99.83,-4.0,954.0,90.4,14.52,308.98
100,214.11,99.31,-3.9,953.0,91.1,14.52,308.98
101,210.28,96.5,-3.4,953.0,90.4,14.52,308.98
102,172.77,93.88,-3.4,953.0,89.6,14.52,308.98
103,227.66,100.81,-2.6,954.0,88.2,14.52,308.98
104,314.91,126.1,-1.4,953.0,85.3,14.52,308.98
105,309.04,166.46,0.3,952.0,78.2,14.52,308.98
106,256.31,224.78,2.6,951.0,69.4,14.52,308.98
107,170.17,207.55,4.2,949.0,66.1,14.52,308.98
108,94.37,162.99,5.2,947.0,67.5,14.52,308.98
109,48.07,112.75,5.9,946.0,68.7,14.52,308.98
110,28.21,82.33,6.2,944.0,71.2,14.52,308.98
111,43.27,104.75,4.7,943.0,78.2,14.52,308.98
112,34.38,95.44,3.6,942.0,83.3,14.52,308.98
113,83.45,111.77,3.0,940.0,86.2,14.52,308.98
114,62.4,99.15,2.7,938.0,87.9,14.52,308.98
115,71.6,96.46,3.1,937.0,85.7,14.52,308.98
116,62.66,90.89,4.7,936.0,74.9,14.52,308.98
117,15.71,51.0,6.6,934.0,64.5,14.52,308.98
118,4.73,34.92,6.7,933.0,65.3,14.52,308.98
119,12.04,58.65,6.1,932.0,69.2,14.52,308.98
120,2.64,21.67,7.2,931.0,66.3,23.11,31.36
121,1.7,16.49,6.6,930.0,68.6,23.11,31.36
123,1.81,14.16,3.6,929.0,87.2,23.11,31.36
124,1.5,17.34,2.8,927.0,92.2,23.11,31.36
125,1.56,26.35,2.7,927.0,93.3,23.11,31.36
126,3.23,37.97,2.7,926.0,93.9,23.11,31.36
127,6.31,49.55,2.5,926.0,94.2,23.11,31.36
128,46.82,80.0,2.4,925.0,94.1,23.11,31.36
129,66.27,91.63,2.8,925.0,93.9,23.11,31.36
130,53.24,80.86,3.0,925.0,93.6,23.11,31.36
131,34.09,65.61,2.1,925.0,93.9,23.11,31.36
132,34.39,62.12,0.9,925.0,94.4,23.11,31.36
133,30.55,62.73,1.0,924.0,94.6,23.11,31.36
134,17.89,55.87,0.9,924.0,94.9,23.11,31.36
135,14.71,55.15,0.7,925.0,95.4,23.11,31.36
136,14.44,52.06,0.7,925.0,95.6,23.11,31.36
137,11.21,45.73,0.6,926.0,96.0,23.11,31.36
138,5.72,33.93,0.4,926.0,96.3,23.11,31.36
139,4.48,29.02,0.3,926.0,96.4,23.11,31.36
140,4.27,30.49,0.2,927.0,96.3,23.11,31.36
141,2.95,25.57,0.3,928.0,95.8,23.11,31.36
142,2.95,21.99,0.2,928.0,95.9,23.11,31.36
143,2.2,18.46,0.2,929.0,96.5,23.11,31.36
144,2.33,17.6,0.3,929.0,96.7,34.29,15.9
145,1.9,12.63,0.3,930.0,96.7,34.29,15.9
147,1.09,11.13,0.2,933.0,96.9,34.29,15.9
148,1.63,11.84,0.1,934.0,97.1,34.29,15.9
149,1.28,11.23,0.1,935.0,97.2,34.29,15.9
150,1.52,13.08,0.0,937.0,97.2,34.29,15.9
151,2.17,17.6,0.0,938.0,97.1,34.29,15.9
152,2.18,15.52,-0.1,940.0,96.6,34.29,15.9
153,3.81,16.76,0.3,941.0,94.7,34.29,15.9
154,5.32,19.28,0.7,942.0,91.3,34.29,15.9
155,5.66,21.04,0.7,943.0,90.1,34.29,15.9
156,4.43,21.35,0.4,944.0,90.2,34.29,15.9
157,5.03,21.68,0.4,944.0,89.5,34.29,15.9
158,4.37,21.52,0.3,945.0,89.3,34.29,15.9
159,4.01,22.62,0.2,946.0,89.6,34.29,15.9
160,3.13,20.85,-0.1,946.0,89.9,34.29,15.9
161,2.68,23.55,-0.4,947.0,90.2,34.29,15.9
162,3.8,22.74,-0.5,948.0,90.5,34.29,15.9
163,2.67,22.74,-0.4,948.0,90.4,34.29,15.9
164,1.9,22.57,-0.4,948.0,90.6,34.29,15.9
165,1.91,20.6,-0.6,948.0,88.5,34.29,15.9
166,1.29,18.43,-0.8,948.0,87.0,34.29,15.9
167,2.02,20.49,-0.9,948.0,86.2,34.29,15.9
