,NO,NO2,AirTemp,Press,UMR,O3,PM10
0,0.98,6.72,5.3,0,86.3,0,40.72
1,0.89,5.24,4.8,0,87.1,0,40.72
2,0.76,7.43,4.5,0,88.1,0,40.72
3,0.74,5.87,4.4,0,89.3,0,40.72
4,0.92,6.03,4.4,0,90.4,0,40.72
5,0.76,10.11,4.4,0,90.4,0,40.72
6,19.62,15.52,3.9,0,90.7,0,40.72
7,98.78,51.98,4.6,0,91.4,0,40.72
8,166.23,72.19,7.6,0,85.6,0,40.72
9,78.21,59.23,8.9,0,78.0,0,40.72
10,6.63,23.93,8.9,0,75.5,0,40.72
11,7.82,22.38,9.7,0,72.1,0,40.72
12,11.76,25.28,11.6,0,64.2,0,40.72
13,11.82,26.15,12.7,0,60.3,0,40.72
14,8.62,28.19,12.9,0,56.8,0,40.72
15,4.31,18.09,13.8,0,52.0,0,40.72
16,2.13,19.11,12.2,0,56.7,0,40.72
17,2.16,27.87,9.5,0,67.8,0,40.72
18,1.02,15.52,8.3,0,71.6,0,40.72
19,0.98,16.99,7.1,0,74.8,0,40.72
20,1.14,18.72,6.2,0,75.9,0,40.72
21,1.1,14.11,5.7,0,73.0,0,40.72
22,0.8,9.05,5.4,0,72.6,0,40.72
23,0.88,11.7,4.8,0,78.4,0,40.72
24,0.83,7.42,4.0,0,82.6,0,28.28
25,0.83,6.14,3.4,0,85.3,0,28.28
26,0.82,6.26,2.9,0,86.5,0,28.28
27,0.61,5.47,2.5,0,87.4,0,28.28
28,0.73,5.83,2.2,0,87.8,0,28.28
29,0.64,6.45,1.8,0,87.2,0,28.28
30,0.7,8.34,1.5,0,87.5,0,28.28
31,17.7,33.12,3.3,0,84.7,0,28.28
32,52.11,53.65,6.5,0,70.1,0,28.28
33,18.66,30.18,7.7,0,65.4,0,28.28
34,33.16,46.53,9.3,0,59.6,0,28.28
35,24.71,42.65,10.6,0,57.5,0,28.28
36,13.14,32.17,12.6,0,51.9,0,28.28
37,11.69,31.24,13.1,0,46.3,0,28.28
38,7.6,26.88,12.9,0,43.8,0,28.28
39,5.47,26.2,12.7,0,44.6,0,28.28
40,1.92,17.15,11.0,0,51.9,0,28.28
41,1.2,20.8,9.0,0,60.9,0,28.28
42,1.5,25.6,7.6,0,66.8,0,28.28
43,1.01,12.78,7.3,0,69.3,0,28.28
44,3.6,29.91,7.0,0,72.8,0,28.28
45,2.58,36.24,6.1,0,78.5,0,28.28
46,5.53,41.83,6.1,0,79.3,0,28.28
47,4.19,33.0,6.5,0,77.7,0,28.28
48,1.68,26.13,6.9,0,75.7,0,25.66
49,0.96,16.57,6.2,0,79.2,0,25.66
50,1.02,15.64,6.2,0,79.7,0,25.66
51,1.68,21.93,5.6,0,81.8,0,25.66
52,1.28,18.68,4.1,0,87.0,0,25.66
53,1.04,20.42,3.7,0,88.8,0,25.66
54,5.02,39.34,3.8,0,90.1,0,25.66
55,29.42,61.36,4.9,0,87.6,0,25.66
56,26.11,45.82,6.6,0,78.9,0,25.66
57,8.43,23.69,8.2,0,73.4,0,25.66
58,7.94,24.02,9.5,0,67.1,0,25.66
59,5.21,17.03,10.9,0,60.7,0,25.66
60,6.33,19.14,12.4,0,53.9,0,25.66
61,4.05,14.98,12.9,0,51.5,0,25.66
62,5.73,21.88,13.2,0,51.2,0,25.66
63,4.17,21.89,13.4,0,50.9,0,25.66
64,2.34,15.44,12.1,0,55.7,0,25.66
65,1.16,18.4,10.0,0,64.5,0,25.66
66,4.92,54.33,9.6,0,68.5,0,25.66
67,3.49,56.17,9.0,0,72.9,0,25.66
68,3.96,53.53,8.9,0,75.9,0,25.66
69,1.56,26.98,8.7,0,77.4,0,25.66
