,NO,NO2,AirTemp,Press,UMR,O3,PM10
0,2.6,16.1,-0.7,0,81.2,47.76,55.18
1,1.1,10.8,-0.8,0,80.6,47.76,55.18
2,0.88,10.06,-0.9,0,79.6,47.76,55.18
3,0.81,9.76,-0.7,0,78.8,47.76,55.18
4,0.77,9.25,-0.8,0,77.7,47.76,55.18
5,0.76,8.93,-1.1,0,77.9,47.76,55.18
6,0.62,8.3,-1.6,0,79.1,47.76,55.18
7,0.73,9.1,-2.1,0,80.8,47.76,55.18
8,0.98,11.21,-2.1,0,80.0,47.76,55.18
9,1.27,8.24,-0.9,0,75.3,47.76,55.18
10,1.17,7.11,0.9,0,68.8,47.76,55.18
11,1.94,5.89,1.9,0,65.7,47.76,55.18
12,1.35,7.4,3.0,0,61.1,47.76,55.18
13,1.02,6.65,3.0,0,59.4,47.76,55.18
14,1.03,7.03,3.6,0,57.5,47.76,55.18
15,1.25,9.42,3.0,0,58.8,47.76,55.18
16,1.47,14.62,1.8,0,63.2,47.76,55.18
17,2.1,30.98,0.7,0,67.5,47.76,55.18
18,4.12,49.51,-0.2,0,72.0,47.76,55.18
19,18.97,56.62,-1.1,0,74.8,47.76,55.18
20,143.15,69.68,-2.4,0,79.9,47.76,55.18
21,44.12,49.91,-3.9,0,81.9,47.76,55.18
22,45.11,50.84,-4.7,0,85.5,47.76,55.18
23,79.66,53.72,-4.8,0,86.5,47.76,55.18
24,44.18,43.13,-5.6,0,87.6,23.82,167.36
25,10.0,37.57,-6.1,0,88.8,23.82,167.36
26,7.33,33.23,-6.1,0,89.4,23.82,167.36
27,9.7,31.63,-6.6,0,88.5,23.82,167.36
28,7.23,29.18,-7.1,0,89.3,23.82,167.36
29,11.01,32.33,-7.5,0,89.5,23.82,167.36
30,44.78,33.5,-7.6,0,89.8,23.82,167.36
31,37.73,31.88,-8.0,0,89.6,23.82,167.36
32,30.22,33.48,-7.9,0,89.2,23.82,167.36
33,28.0,35.04,-6.1,0,87.6,23.82,167.36
34,32.49,41.76,-2.7,0,76.2,23.82,167.36
35,31.92,47.58,-0.2,0,67.3,23.82,167.36
36,14.96,40.01,1.7,0,60.1,23.82,167.36
37,12.11,39.23,2.4,0,58.2,23.82,167.36
38,7.07,32.11,5.0,0,49.9,23.82,167.36
39,4.67,33.07,5.3,0,49.4,23.82,167.36
40,15.03,71.9,2.5,0,60.1,23.82,167.36
41,41.15,94.56,0.5,0,67.2,23.82,167.36
42,61.24,95.24,-0.5,0,71.0,23.82,167.36
43,155.86,100.4,-1.1,0,73.9,23.82,167.36
44,121.88,92.11,-1.8,0,77.3,23.82,167.36
45,153.57,93.85,-2.4,0,80.6,23.82,167.36
46,126.73,89.43,-3.0,0,82.8,23.82,167.36
47,135.94,83.69,-3.4,0,84.3,23.82,167.36
48,128.8,75.79,-3.8,0,85.4,18.03,332.52
49,77.86,67.34,-4.3,0,86.6,18.03,332.52
50,49.29,63.06,-4.7,0,88.1,18.03,332.52
51,39.63,56.26,-5.0,0,88.8,18.03,332.52
52,38.88,52.48,-5.3,0,89.4,18.03,332.52
53,60.07,53.22,-5.5,0,89.9,18.03,332.52
54,113.59,54.31,-5.8,0,90.0,18.03,332.52
55,191.09,62.41,-5.9,0,90.0,18.03,332.52
56,204.11,65.96,-5.8,0,89.7,18.03,332.52
57,96.16,66.16,-4.2,0,88.0,18.03,332.52
58,64.14,71.46,-2.0,0,79.5,18.03,332.52
59,53.41,91.83,0.9,0,69.0,18.03,332.52
60,39.35,108.5,3.6,0,60.4,18.03,332.52
61,27.45,92.89,4.1,0,63.2,18.03,332.52
62,24.32,92.93,6.5,0,56.7,18.03,332.52
63,26.02,97.01,5.9,0,58.7,18.03,332.52
64,54.82,118.07,4.4,0,63.9,18.03,332.52
65,198.68,143.45,2.3,0,71.9,18.03,332.52
66,506.59,187.06,0.8,0,78.3,18.03,332.52
67,481.69,178.64,-0.1,0,82.4,18.03,332.52
68,130.97,142.91,-0.6,0,83.3,18.03,332.52
69,159.46,139.21,-1.1,0,85.4,18.03,332.52
70,110.74,117.58,-1.7,0,87.1,18.03,332.52
71,182.47,114.34,-2.0,0,88.4,18.03,332.52
72,109.83,94.47,-2.7,0,89.0,13.43,415.72
73,123.79,86.58,-3.3,0,90.2,13.43,415.72
74,116.06,78.18,-3.6,0,90.5,13.43,415.72
75,111.37,66.83,-4.1,0,90.7,13.43,415.72
76,81.92,62.65,-4.5,0,91.0,13.43,415.72
77,61.44,55.52,-5.5,0,91.5,13.43,415.72
78,54.79,47.18,-5.9,0,93.4,13.43,415.72
79,80.07,51.8,-5.3,0,93.6,13.43,415.72
80,51.14,47.47,-5.2,0,94.6,13.43,415.72
81,52.6,51.73,-4.5,0,94.3,13.43,415.72
82,66.43,64.17,-4.0,0,94.1,13.43,415.72
83,73.44,81.68,-3.3,0,93.4,13.43,415.72
84,47.54,77.69,-2.2,0,92.3,13.43,415.72
85,40.82,85.58,-0.2,0,88.2,13.43,415.72
86,42.64,105.13,0.9,0,81.2,13.43,415.72
87,61.62,120.93,0.0,0,85.9,13.43,415.72
88,77.82,124.43,-1.4,0,90.5,13.43,415.72
89,113.32,125.75,-2.3,0,93.8,13.43,415.72
90,102.39,117.19,-3.4,0,94.1,13.43,415.72
91,121.1,112.66,-3.9,0,95.2,13.43,415.72
92,67.66,100.31,-4.1,0,95.7,13.43,415.72
93,104.81,100.74,-3.9,0,95.5,13.43,415.72
94,107.68,96.51,-4.8,0,95.2,13.43,415.72
95,79.24,93.28,-4.7,0,95.2,13.43,415.72
96,57.0,81.74,-5.4,0,94.2,14.32,259.58
97,64.02,84.29,-5.8,0,94.5,14.32,259.58
98,61.23,83.44,-5.4,0,94.8,14.32,259.58
99,76.15,82.89,-5.3,0,94.7,14.32,259.58
100,55.15,77.03,-5.1,0,95.0,14.32,259.58
101,44.02,74.03,-5.7,0,94.9,14.32,259.58
102,67.21,74.97,-4.8,0,94.9,14.32,259.58
103,102.86,76.41,-3.9,0,94.5,14.32,259.58
104,124.49,84.82,-3.5,0,94.5,14.32,259.58
105,127.87,105.79,-2.2,0,93.3,14.32,259.58
106,88.91,106.72,-0.6,0,91.7,14.32,259.58
107,81.72,122.92,0.7,0,91.1,14.32,259.58
108,73.76,122.22,2.2,0,87.1,14.32,259.58
109,38.19,85.7,3.0,0,84.1,14.32,259.58
110,26.49,54.24,3.5,0,85.1,14.32,259.58
111,27.01,58.35,3.5,0,86.0,14.32,259.58
112,50.85,72.88,2.6,0,88.4,14.32,259.58
113,109.03,81.11,1.5,0,92.5,14.32,259.58
114,53.47,72.77,1.4,0,94.2,14.32,259.58
115,42.57,70.52,2.5,0,92.4,14.32,259.58
116,37.86,66.02,3.3,0,84.9,14.32,259.58
117,17.69,43.55,4.1,0,78.9,14.32,259.58
