,NO,NO2,AirTemp,Press,UMR,O3,PM10
0,4.76,15.99,-0.8,0,81.0,0,40.27
1,2.96,14.13,-0.9,0,79.3,0,40.27
2,2.66,14.12,-1.0,0,79.4,0,40.27
3,2.62,17.14,-0.9,0,79.5,0,40.27
4,2.22,13.3,-1.0,0,78.5,0,40.27
5,1.83,10.83,-1.1,0,77.4,0,40.27
6,1.76,13.52,-1.5,0,77.9,0,40.27
7,1.62,17.42,-2.0,0,79.0,0,40.27
8,2.15,17.75,-1.8,0,77.7,0,40.27
9,2.4,10.73,0.3,0,69.2,0,40.27
10,2.41,7.62,1.6,0,64.4,0,40.27
11,2.92,7.2,1.7,0,63.6,0,40.27
12,3.74,8.17,1.8,0,61.8,0,40.27
13,4.31,9.37,2.0,0,60.7,0,40.27
14,4.52,11.14,2.8,0,58.0,0,40.27
15,4.11,12.23,2.8,0,57.3,0,40.27
16,4.01,19.33,1.6,0,61.6,0,40.27
17,52.25,42.92,0.5,0,67.1,0,40.27
18,184.17,76.88,-1.8,0,75.7,0,40.27
19,303.61,82.94,-3.0,0,81.7,0,40.27
20,195.03,76.34,-3.9,0,83.3,0,40.27
21,212.52,74.93,-4.6,0,84.7,0,40.27
22,179.52,65.77,-5.2,0,86.1,0,40.27
23,188.07,62.05,-5.8,0,87.4,0,40.27
24,128.84,59.59,-6.3,0,88.6,0,166.35
25,86.88,52.8,-6.7,0,89.3,0,166.35
26,97.5,47.66,-6.9,0,90.0,0,166.35
27,113.48,44.43,-7.2,0,90.4,0,166.35
28,74.16,39.86,-7.3,0,90.8,0,166.35
29,74.9,37.1,-7.4,0,90.9,0,166.35
30,89.2,33.93,-7.7,0,90.9,0,166.35
31,104.82,36.99,-8.0,0,91.4,0,166.35
32,126.33,42.15,-7.0,0,91.4,0,166.35
33,78.92,52.19,-3.8,0,86.3,0,166.35
34,71.21,68.45,-1.2,0,72.2,0,166.35
35,55.97,76.59,0.2,0,63.6,0,166.35
36,37.96,75.37,1.4,0,58.5,0,166.35
37,35.78,80.21,2.0,0,57.3,0,166.35
38,47.54,94.05,3.0,0,55.7,0,166.35
39,74.25,99.65,3.9,0,53.2,0,166.35
40,151.51,107.12,3.2,0,56.1,0,166.35
41,344.62,125.38,0.2,0,67.7,0,166.35
42,300.47,116.09,-1.4,0,74.3,0,166.35
43,406.47,122.46,-2.1,0,78.3,0,166.35
44,306.93,112.54,-2.7,0,81.0,0,166.35
45,273.18,93.19,-3.0,0,82.6,0,166.35
46,283.21,96.2,-3.5,0,83.9,0,166.35
47,356.34,101.44,-3.8,0,85.7,0,166.35
48,257.2,87.11,-4.2,0,87.0,0,308.96
49,222.52,85.15,-4.6,0,87.9,0,308.96
50,199.14,74.59,-5.0,0,89.0,0,308.96
51,176.91,66.16,-5.3,0,89.6,0,308.96
52,175.53,65.54,-5.6,0,90.3,0,308.96
53,202.94,60.54,-5.8,0,90.8,0,308.96
54,237.75,57.88,-5.9,0,91.3,0,308.96
55,269.3,63.91,-6.0,0,91.7,0,308.96
56,388.31,91.57,-5.4,0,92.1,0,308.96
57,335.81,106.6,-2.1,0,88.3,0,308.96
58,103.56,82.05,-1.2,0,79.7,0,308.96
59,113.73,110.8,2.0,0,67.3,0,308.96
60,119.81,144.07,4.2,0,58.9,0,308.96
61,80.55,129.91,3.7,0,61.8,0,308.96
