,NO,NO2,AirTemp,Press,UMR,O3,PM10
0,-1.39,13.92,-1.4,941.0,73.7,44.79,34.65
1,-1.35,11.51,-1.4,941.0,72.9,44.79,34.65
2,-1.24,11.46,-1.5,942.0,72.3,44.79,34.65
3,-0.96,9.69,-1.6,942.0,73.0,44.79,34.65
4,-0.77,10.8,-1.6,943.0,72.1,44.79,34.65
5,-0.56,9.22,-1.6,943.0,70.5,44.79,34.65
6,-0.5,9.38,-1.9,944.0,70.5,44.79,34.65
7,-0.28,18.11,-2.7,944.0,73.1,44.79,34.65
8,0.42,16.5,-3.7,945.0,74.5,44.79,34.65
9,1.62,14.2,-2.8,946.0,70.0,44.79,34.65
10,1.24,9.18,-0.8,946.0,64.6,44.79,34.65
11,0.98,7.07,1.1,946.0,59.9,44.79,34.65
12,0.82,6.53,1.6,946.0,58.0,44.79,34.65
13,0.7,6.53,1.8,945.0,55.9,44.79,34.65
14,1.24,7.83,2.0,945.0,54.2,44.79,34.65
15,0.89,8.15,1.5,946.0,56.2,44.79,34.65
16,1.92,18.06,0.4,946.0,61.2,44.79,34.65
17,7.71,46.09,-0.7,947.0,65.9,44.79,34.65
18,0.95,46.72,-1.7,947.0,66.9,44.79,34.65
19,0.23,36.32,-2.3,948.0,64.6,44.79,34.65
20,0.26,29.44,-2.6,948.0,62.7,44.79,34.65
21,35.36,54.93,-3.1,948.0,62.9,44.79,34.65
22,44.44,62.41,-4.2,949.0,67.0,44.79,34.65
23,26.32,61.39,-4.7,949.0,68.9,44.79,34.65
24,21.33,60.54,-5.5,949.0,73.2,13.1,144.05
25,26.99,57.98,-6.2,949.0,77.6,13.1,144.05
26,6.81,48.08,-6.4,949.0,78.5,13.1,144.05
27,7.01,47.03,-6.8,949.0,80.7,13.1,144.05
28,14.14,46.38,-6.9,949.0,81.7,13.1,144.05
29,19.7,46.78,-7.4,949.0,83.0,13.1,144.05
30,22.86,48.38,-7.1,949.0,83.1,13.1,144.05
31,65.8,55.13,-7.3,949.0,83.5,13.1,144.05
32,103.84,59.9,-7.5,949.0,83.7,13.1,144.05
33,97.42,67.76,-5.7,950.0,81.1,13.1,144.05
34,71.67,80.64,-2.7,950.0,71.4,13.1,144.05
37,22.63,70.57,1.2,947.0,55.4,13.1,144.05
38,20.38,86.2,2.2,947.0,52.1,13.1,144.05
39,31.82,87.28,2.2,947.0,52.4,13.1,144.05
40,69.05,120.62,1.5,947.0,57.5,13.1,144.05
41,113.99,131.26,-0.3,947.0,68.1,13.1,144.05
42,193.4,130.31,-1.4,947.0,74.4,13.1,144.05
43,136.4,103.18,-1.6,947.0,76.8,13.1,144.05
44,89.51,92.0,-1.9,947.0,78.2,13.1,144.05
45,99.69,86.17,-2.4,947.0,79.6,13.1,144.05
46,133.69,84.73,-3.1,948.0,81.6,13.1,144.05
47,63.6,77.24,-2.8,948.0,81.4,13.1,144.05
48,63.85,74.79,-3.4,947.0,82.0,9.63,290.84
49,81.74,70.62,-4.2,947.0,84.5,9.63,290.84
51,42.34,56.97,-4.7,947.0,86.2,9.63,290.84
52,28.68,51.71,-4.9,947.0,86.5,9.63,290.84
53,75.24,53.66,-5.3,947.0,86.9,9.63,290.84
54,141.26,60.33,-5.4,947.0,86.8,9.63,290.84
55,221.99,68.87,-5.7,948.0,86.9,9.63,290.84
56,437.61,112.34,-5.3,949.0,86.6,9.63,290.84
57,362.64,130.38,-3.2,949.0,82.4,9.63,290.84
58,245.01,186.78,-1.3,949.0,73.9,9.63,290.84
59,227.57,235.58,0.4,949.0,67.7,9.63,290.84
60,177.26,273.16,3.1,948.0,58.7,9.63,290.84
61,102.17,242.68,3.8,948.0,56.7,9.63,290.84
62,70.69,207.17,4.3,948.0,55.4,9.63,290.84
63,84.7,208.21,4.9,948.0,55.4,9.63,290.84
64,215.54,222.87,4.3,948.0,59.2,9.63,290.84
65,439.72,199.66,3.0,949.0,70.2,9.63,290.84
66,365.14,219.59,1.7,949.0,72.1,9.63,290.84
67,655.61,233.33,0.1,949.0,80.0,9.63,290.84
68,553.24,183.67,-0.8,950.0,84.4,9.63,290.84
69,354.38,150.86,-0.9,949.0,85.6,9.63,290.84
70,297.02,136.31,-1.1,950.0,84.2,9.63,290.84
71,277.17,110.27,-1.9,949.0,86.8,9.63,290.84
72,165.41,91.1,-2.2,950.0,87.6,8.21,379.87
73,180.42,82.22,-2.9,950.0,88.5,8.21,379.87
74,93.63,81.99,-2.6,949.0,88.9,8.21,379.87
75,60.45,71.23,-3.2,949.0,88.4,8.21,379.87
76,69.26,63.43,-4.0,948.0,89.3,8.21,379.87
77,114.44,62.53,-4.1,948.0,89.4,8.21,379.87
78,228.07,72.47,-4.5,948.0,89.5,8.21,379.87
79,300.12,84.05,-4.7,948.0,89.2,8.21,379.87
80,350.82,96.42,-4.7,948.0,88.8,8.21,379.87
81,322.56,132.36,-3.9,947.0,86.4,8.21,379.87
82,268.83,177.31,-2.3,947.0,81.0,8.21,379.87
83,229.16,235.01,0.2,946.0,73.1,8.21,379.87
84,172.47,239.24,0.9,944.0,70.2,8.21,379.87
85,115.86,227.1,1.5,943.0,69.2,8.21,379.87
